county,lat,lon,cases
Bergen, 40.9322, -74.0563, 16609
Essex, 40.7764, -74.2287, 15095
Hudson, 40.7404, -74.0678, 16354
Union, 40.6610, -74.3105, 13781
Middlesex, 40.4796, -74.3945, 13411
Passaic, 40.9703, -74.2457, 14133
Monmouth, 40.2965, -74.1449, 6649
Ocean, 39.8986, -74.2203, 7209
Morris, 40.8549, -74.5174, 5702
Somerset, 40.5626, -74.6094, 3914
Mercer, 40.2677, -74.7129, 4986
Camden, 39.8458, -75.01645, 4479
Burlington, 39.9996, -74.7535, 3367
Gloucester, 39.7437, -75.1715, 1548
Sussex, 41.1287, -74.6642, 1006
Warren, 40.8275, -74.9665, 1004
Hunterdon, 40.5751, -74.913, 685
Atlantic, 39.4624, -74.7081, 1302
Cumberland, 39.3448, -75.0638, 1090
Cape May, 39.1283, -74.7639, 401
Salem, 39.6189, -75.3712, 358
